"","year","county","pct_lbw","pct_lbw_aian","pct_lbw_asian","pct_lbw_biracial","pct_lbw_black","pct_lbw_hispanic","pct_lbw_nhopi","pct_lbw_white","tbr","tbr_aian","tbr_asian","tbr_biracial","tbr_black","tbr_hispanic","tbr_nhopi","tbr_white","num_hs_complete","pop_25plus","pct_hs_complete","num_some_college","pop_25_44","pct_some_college","pct_child_poverty","pct_child_poverty_aian","pct_child_poverty_asian","pct_child_poverty_black","pct_child_poverty_hispanic","pct_child_poverty_white","year_factor","county_factor","racial_data_available"
"83",2015,"Choctaw",11.1,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,133,2945,78,1437,2945,48.8,31,NA,NA,NA,NA,NA,"2015","Choctaw","None/Limited"
"84",2015,"Clarke",12.6,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,427,5953,73,2561,5953,43,35,NA,NA,NA,NA,NA,"2015","Clarke","None/Limited"
"85",2015,"Clay",11.4,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,171,3278,78,1534,3278,46.8,29,NA,NA,NA,NA,NA,"2015","Clay","None/Limited"
"86",2015,"Cleburne",8.8,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,208,3578,89,1738,3578,48.6,28,NA,NA,NA,NA,NA,"2015","Cleburne","None/Limited"
"87",2015,"Coffee",8.6,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,752,13612,85,8184,13612,60.1,28,NA,NA,NA,NA,NA,"2015","Coffee","None/Limited"
"88",2015,"Colbert",10,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,697,12915,78,7280,12915,56.4,26,NA,NA,NA,NA,NA,"2015","Colbert","None/Limited"
"89",2015,"Conecuh",13.7,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,139,2686,83,1075,2686,40,43,NA,NA,NA,NA,NA,"2015","Conecuh","None/Limited"
"90",2015,"Coosa",12.1,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,92,2596,78,817,2596,31.5,31,NA,NA,NA,NA,NA,"2015","Coosa","None/Limited"
"91",2015,"Covington",9.4,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,454,8609,81,4452,8609,51.7,29,NA,NA,NA,NA,NA,"2015","Covington","None/Limited"
"92",2015,"Crenshaw",9,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,174,3326,93,1435,3326,43.1,31,NA,NA,NA,NA,NA,"2015","Crenshaw","None/Limited"
