year,county,pct_lbw,pct_lbw_aian,pct_lbw_asian,pct_lbw_biracial,pct_lbw_black,pct_lbw_hispanic,pct_lbw_nhopi,pct_lbw_white,tbr,tbr_aian,tbr_asian,tbr_biracial,tbr_black,tbr_hispanic,tbr_nhopi,tbr_white,num_hs_complete,pop_25plus,pct_hs_complete,num_some_college,pop_25_44,pct_some_college,pct_child_poverty,pct_child_poverty_aian,pct_child_poverty_asian,pct_child_poverty_black,pct_child_poverty_hispanic,pct_child_poverty_white,year_factor,county_factor,racial_data_available,lbw_pct_change,hs_pct_change,poverty_pct_change,tbr_pct_change
2014,Montgomery,0.11900000000000001,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,2044,62052,0.66,38019,62052,0.613,0.31,NA,NA,NA,NA,NA,2014,Montgomery,None/Limited,0,0,0,0
2014,Morgan,0.092,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,1662,31128,0.71,16783,31128,0.539,0.23,NA,NA,NA,NA,NA,2014,Morgan,None/Limited,0,0,0,0
2014,Perry,0.135,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,146,2155,0.88,780,2155,0.36200000000000004,0.51,NA,NA,NA,NA,NA,2014,Perry,None/Limited,0,0,0,0
2014,Pickens,0.121,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,240,4402,0.75,1916,4402,0.435,0.34,NA,NA,NA,NA,NA,2014,Pickens,None/Limited,0,0,0,0
2014,Pike,0.094,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,326,7320,0.7,4200,7320,0.574,0.34,NA,NA,NA,NA,NA,2014,Pike,None/Limited,0,0,0,0
2014,Randolph,0.1,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,292,5093,0.8,2067,5093,0.406,0.35,NA,NA,NA,NA,NA,2014,Randolph,None/Limited,0,0,0,0
2014,Russell,0.107,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,844,14288,0.65,8022,14288,0.561,0.37,NA,NA,NA,NA,NA,2014,Russell,None/Limited,0,0,0,0
2014,St. Clair,0.087,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,986,23207,0.76,11885,23207,0.512,0.21,NA,NA,NA,NA,NA,2014,St. Clair,None/Limited,0,0,0,0
2014,Shelby,0.084,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,1894,56929,0.86,42396,56929,0.745,0.12,NA,NA,NA,NA,NA,2014,Shelby,None/Limited,0,0,0,0
2014,Sumter,0.135,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,215,2744,0.8,1345,2744,0.49,0.45,NA,NA,NA,NA,NA,2014,Sumter,None/Limited,0,0,0,0
2014,Talladega,0.125,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,1072,21163,0.74,9762,21163,0.461,0.35,NA,NA,NA,NA,NA,2014,Talladega,None/Limited,0,0,0,0
2014,Tallapoosa,0.126,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,562,9706,0.77,4331,9706,0.446,0.38,NA,NA,NA,NA,NA,2014,Tallapoosa,None/Limited,0,0,0,0
2014,Tuscaloosa,0.115,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,2347,48877,0.67,29871,48877,0.611,0.26,NA,NA,NA,NA,NA,2014,Tuscaloosa,None/Limited,0,0,0,0
2014,Walker,0.10400000000000001,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,789,16188,0.76,8336,16188,0.515,0.28,NA,NA,NA,NA,NA,2014,Walker,None/Limited,0,0,0,0
2014,Washington,0.09699999999999999,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,267,4049,0.85,1547,4049,0.382,0.29,NA,NA,NA,NA,NA,2014,Washington,None/Limited,0,0,0,0
2014,Wilcox,0.126,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,210,2684,0.72,883,2684,0.32899999999999996,0.51,NA,NA,NA,NA,NA,2014,Wilcox,None/Limited,0,0,0,0
2014,Winston,0.09699999999999999,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,305,5578,0.88,2546,5578,0.456,0.4,NA,NA,NA,NA,NA,2014,Winston,None/Limited,0,0,0,0
2014,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,,None/Limited,NA,NA,NA,NA
2014,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,,None/Limited,NA,NA,NA,NA
2015,State Total,0.10300000000000001,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,59056,1227971,0.77,711680,1227971,0.58,0.27,NA,NA,NA,NA,NA,2015,State Total,None/Limited,-0.009615384615384623,0.04054054054054058,-0.03571428571428574,-0.020833333333333332
2015,Autauga,0.091,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,768,14535,0.81,8145,14535,0.56,0.2,NA,NA,NA,NA,NA,2015,Autauga,None/Limited,-0.021505376344086186,0.012500000000000011,0.05263157894736847,-0.07692307692307693
2015,Baldwin,0.087,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,2321,45251,0.74,28277,45251,0.625,0.21,NA,NA,NA,NA,NA,2015,Baldwin,None/Limited,-0.022471910112359723,0,0,-0.021739130434782608
